Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,BIOA,EXTR,Delta_BIOA,Delta_EXTR
1721.72,0.913319,0.0866812,,,,,,0.132871261,0.121353808,0.913318708,0.086681292,2.91757E-07,-9.17566E-08
1741.74,0.914177,0.0858232,,,,,,0.13143255,0.120152579,0.914176729,0.085823271,2.70506E-07,-7.05058E-08
1761.76,0.915018,0.084982,,,,,,0.130024663,0.118974898,0.91501793,0.08498207,6.99916E-08,-6.99916E-08
1781.78,0.915843,0.0841571,,,,,,0.128646619,0.11782008,0.9158428,0.0841572,1.9984E-07,-9.98401E-08
1801.8,0.916652,0.0833481,,,,,,0.12729748,0.116687465,0.91665181,0.08334819,1.8964E-07,-8.96402E-08
1821.82,0.917445,0.0825545,,,,,,0.125976345,0.11557642,0.917445414,0.082554586,-4.14267E-07,-8.57331E-08
1841.84,0.918224,0.0817759,,,,,,0.124682351,0.114486333,0.918224048,0.081775952,-4.78364E-08,-5.21636E-08
1861.86,0.918988,0.0810118,,,,,,0.12341467,0.113416617,0.918988131,0.081011869,-1.30789E-07,-6.92109E-08
1881.88,0.919738,0.0802619,,,,,,0.122172509,0.112366707,0.919738066,0.080261934,-6.62982E-08,-3.37018E-08
1901.9,0.920474,0.0795257,,,,,,0.120955103,0.111336057,0.920474245,0.079525755,-2.44926E-07,-5.50742E-08
1921.92,0.921197,0.0788029,,,,,,0.11976172,0.110324142,0.921197041,0.078802959,-4.13362E-08,-5.86638E-08
1941.94,0.921907,0.0780931,,,,,,0.118591657,0.109330457,0.921906816,0.078093184,1.83545E-07,-8.3545E-08
1961.96,0.922604,0.077396,,,,,,0.117444236,0.108354512,0.92260392,0.07739608,8.03394E-08,-8.03394E-08
1981.98,0.923289,0.0767112,,,,,,0.116318805,0.107395837,0.923288688,0.076711312,3.12038E-07,-1.12038E-07
2002,0.923962,0.0760385,,,,,,0.11521474,0.106453978,0.923961445,0.076038555,5.55433E-07,-5.54327E-08
2022.02,0.924623,0.0753774,,,,,,0.114131437,0.105528495,0.924622504,0.075377496,4.96439E-07,-9.64386E-08
2042.04,0.925272,0.0747278,,,,,,0.113068317,0.104618966,0.925272167,0.074727833,-1.66676E-07,-3.33236E-08
2062.06,0.925911,0.0740892,,,,,,0.112024819,0.103724982,0.925910727,0.074089273,2.72605E-07,-7.26047E-08
2082.08,0.926539,0.0734615,,,,,,0.111000406,0.102846146,0.926538467,0.073461533,5.32875E-07,-3.28753E-08
2102.1,0.927156,0.0728443,,,,,,0.10999456,0.101982079,0.927155658,0.072844342,3.41903E-07,-4.19028E-08
2122.12,0.927763,0.0722374,,,,,,0.109006779,0.101132409,0.927762565,0.072237435,4.34925E-07,-3.49254E-08
2142.14,0.92836,0.0716405,,,,,,0.108036582,0.100296781,0.928359442,0.071640558,5.57855E-07,-5.78548E-08
2162.16,0.928947,0.0710534,,,,,,0.107083503,0.099474849,0.928946536,0.071053464,4.63718E-07,-6.37177E-08
2182.18,0.929524,0.0704759,,,,,,0.106147093,0.098666279,0.929524086,0.070475914,-8.59984E-08,-1.40016E-08
2202.2,0.930092,0.0699076,,,,,,0.105226918,0.097870749,0.930092322,0.069907678,-3.22465E-07,-7.75346E-08
2222.22,0.930652,0.0693485,,,,,,0.10432256,0.097087944,0.930651469,0.069348531,5.31209E-07,-3.12086E-08
2242.24,0.931202,0.0687982,,,,,,0.103433615,0.096317563,0.931201741,0.068798259,2.58844E-07,-5.88443E-08
2262.26,0.931743,0.0682566,,,,,,0.102559692,0.095559311,0.931743349,0.068256651,-3.49335E-07,-5.06649E-08
2282.28,0.932277,0.0677234,,,,,,0.101700413,0.094812905,0.932276497,0.067723503,5.03383E-07,-1.03383E-07
2302.3,0.932801,0.0671986,,,,,,0.100855413,0.094078068,0.93280138,0.06719862,-3.79716E-07,-2.02844E-08
2322.32,0.933318,0.0666818,,,,,,0.100024339,0.093354535,0.933318189,0.066681811,-1.89312E-07,-1.06876E-08
2342.34,0.933827,0.0661728,,,,,,0.099206851,0.092642047,0.933827109,0.066172891,-1.09359E-07,-9.06414E-08
2362.36,0.934328,0.0656716,,,,,,0.098402616,0.091940351,0.934328321,0.065671679,-3.2074E-07,-7.92598E-08
2382.38,0.934822,0.0651779,,,,,,0.097611316,0.091249206,0.934821996,0.065178004,3.76984E-09,-1.0377E-07
2402.4,0.935308,0.0646916,,,,,,0.096832641,0.090568374,0.935308305,0.064691695,-3.04785E-07,-9.52154E-08
2422.42,0.935787,0.0642125,,,,,,0.096066292,0.089897626,0.93578741,0.06421259,-4.09613E-07,-9.0387E-08
2442.44,0.93626,0.0637405,,,,,,0.095311977,0.089236741,0.936259471,0.063740529,5.29379E-07,-2.93785E-08
2462.46,0.936725,0.0632753,,,,,,0.094569416,0.088585503,0.936724641,0.063275359,3.58767E-07,-5.87673E-08
2482.48,0.937183,0.0628169,,,,,,0.093838337,0.0879437,0.937183071,0.062816929,-7.08345E-08,-2.91655E-08
2502.5,0.937635,0.062365,,,,,,0.093118474,0.087311131,0.937634906,0.062365094,9.40106E-08,-9.40106E-08
2522.52,0.93808,0.0619197,,,,,,0.092409571,0.086687597,0.938080288,0.061919712,-2.87881E-07,-1.2119E-08
2542.54,0.938519,0.0614806,,,,,,0.091711381,0.086072906,0.938519353,0.061480647,-3.52894E-07,-4.71065E-08
2562.56,0.938952,0.0610477,,,,,,0.091023662,0.085466871,0.938952235,0.061047765,-2.35085E-07,-6.49147E-08
2582.58,0.939379,0.0606209,,,,,,0.09034618,0.08486931,0.939379064,0.060620936,-6.42655E-08,-3.57345E-08
2602.6,0.9398,0.0602,,,,,,0.089678709,0.084280048,0.939799966,0.060200034,3.40464E-08,-3.40464E-08
2622.62,0.940215,0.0597849,,,,,,0.089021028,0.083698912,0.940215063,0.059784937,-6.32355E-08,-3.67645E-08
2642.64,0.940625,0.0593755,,,,,,0.088372924,0.083125735,0.940624475,0.059375525,5.25162E-07,-2.51624E-08
2662.66,0.941028,0.0589716,,,,,,0.087734188,0.082560356,0.941028318,0.058971682,-3.1762E-07,-8.23796E-08
2682.68,0.941427,0.0585732,,,,,,0.08710462,0.082002615,0.941426703,0.058573297,2.96612E-07,-9.66118E-08
2702.7,0.94182,0.0581802,,,,,,0.086484022,0.081452359,0.941819743,0.058180257,2.56713E-07,-5.67132E-08
2722.72,0.942208,0.0577924,,,,,,0.085872205,0.08090944,0.942207543,0.057792457,4.56653E-07,-5.66534E-08
2742.74,0.94259,0.0574097,,,,,,0.085268984,0.080373709,0.942590208,0.057409792,-2.0762E-07,-9.23801E-08
2762.76,0.942968,0.0570321,,,,,,0.084674179,0.079845027,0.942967838,0.057032162,1.62476E-07,-6.24756E-08
2782.78,0.943341,0.0566594,,,,,,0.084087614,0.079323255,0.943340532,0.056659468,4.67545E-07,-6.75454E-08
2802.8,0.943708,0.0562916,,,,,,0.083509121,0.078808258,0.943708387,0.056291613,-3.87217E-07,-1.27834E-08
2822.82,0.944072,0.0559285,,,,,,0.082938532,0.078299904,0.944071497,0.055928503,5.02908E-07,-2.90844E-09
2842.84,0.94443,0.05557,,,,,,0.082375689,0.077798068,0.944429951,0.055570049,4.85452E-08,-4.85452E-08
2862.86,0.944784,0.0552161,,,,,,0.081820433,0.077302623,0.944783841,0.055216159,1.59244E-07,-5.92443E-08
2882.88,0.945133,0.0548667,,,,,,0.081272612,0.076813448,0.945133251,0.054866749,-2.51407E-07,-4.85928E-08
2902.9,0.945478,0.0545217,,,,,,0.080732078,0.076330426,0.945478268,0.054521732,-2.67676E-07,-3.23238E-08
2922.92,0.945819,0.054181,,,,,,0.080198687,0.07585344,0.945818972,0.054181028,2.83338E-08,-2.83338E-08
2942.94,0.946155,0.0538445,,,,,,0.079672298,0.075382379,0.946155444,0.053844556,-4.4394E-07,-5.60599E-08
2962.96,0.946488,0.0535122,,,,,,0.079152774,0.074917132,0.946487763,0.053512237,2.37134E-07,-3.71342E-08
2982.98,0.946816,0.0531839,,,,,,0.078639982,0.074457593,0.946816005,0.053183995,-4.60064E-09,-9.53994E-08
3003,0.94714,0.0528597,,,,,,0.078133791,0.074003658,0.947140244,0.052859756,-2.44357E-07,-5.56431E-08
3023.02,0.947461,0.0525394,,,,,,0.077634075,0.073555223,0.947460554,0.052539446,4.45532E-07,-4.55322E-08
3043.04,0.947777,0.0522229,,,,,,0.07714071,0.073112191,0.947777006,0.052222994,-6.29482E-09,-9.37052E-08
3063.06,0.94809,0.0519103,,,,,,0.076653576,0.072674464,0.948089669,0.051910331,3.31066E-07,-3.1066E-08
3083.08,0.948399,0.0516013,,,,,,0.076172557,0.072241947,0.948398609,0.051601391,3.90799E-07,-9.07987E-08
3103.1,0.948704,0.0512961,,,,,,0.075697536,0.071814548,0.948703895,0.051296105,1.05166E-07,-5.16609E-09
3123.12,0.949006,0.0509944,,,,,,0.075228404,0.071392176,0.949005589,0.050994411,4.11303E-07,-1.13034E-08
3143.14,0.949304,0.0506962,,,,,,0.074765051,0.070974743,0.949303755,0.050696245,2.45446E-07,-4.54455E-08
3163.16,0.949599,0.0504015,,,,,,0.07430737,0.070562164,0.949598454,0.050401546,5.45507E-07,-4.55068E-08
3183.18,0.94989,0.0501102,,,,,,0.073855259,0.070154354,0.949889748,0.050110252,2.5238E-07,-5.23799E-08
3203.2,0.950178,0.0498223,,,,,,0.073408617,0.06975123,0.950177693,0.049822307,3.07372E-07,-7.37151E-09
3223.22,0.950462,0.0495376,,,,,,0.072967344,0.069352713,0.950462348,0.049537652,-3.47793E-07,-5.22074E-08
3243.24,0.950744,0.0492562,,,,,,0.072531345,0.068958724,0.950743768,0.049256232,2.31622E-07,-3.1622E-08
3263.26,0.951022,0.0489779,,,,,,0.072100525,0.068569186,0.95102201,0.04897799,-9.85901E-09,-9.0141E-08
3283.28,0.951297,0.0487028,,,,,,0.071674793,0.068184024,0.951297125,0.048702875,-1.25329E-07,-7.4671E-08
3303.3,0.951569,0.0484308,,,,,,0.071254059,0.067803166,0.951569167,0.048430833,-1.6743E-07,-3.25704E-08
3323.32,0.951838,0.0481618,,,,,,0.070838236,0.067426538,0.951838187,0.048161813,-1.87051E-07,-1.29487E-08
3343.34,0.952104,0.0478957,,,,,,0.070427238,0.067054071,0.952104235,0.047895765,-2.3462E-07,-6.53803E-08
3363.36,0.952367,0.0476326,,,,,,0.070020981,0.066685697,0.952367359,0.047632641,-3.59442E-07,-4.05575E-08
3383.38,0.952628,0.0473723,,,,,,0.069619385,0.066321348,0.952627608,0.047372392,3.91594E-07,-9.15938E-08
3403.4,0.952885,0.0471149,,,,,,0.069222369,0.065960959,0.952885029,0.047114971,-2.92096E-08,-7.07904E-08
3423.42,0.95314,0.0468603,,,,,,0.068829856,0.065604466,0.953139667,0.046860333,3.32883E-07,-3.28826E-08
3443.44,0.953392,0.0466084,,,,,,0.068441768,0.065251805,0.953391568,0.046608432,4.31803E-07,-3.18027E-08
3463.46,0.953641,0.0463592,,,,,,0.068058033,0.064902915,0.953640775,0.046359225,2.25228E-07,-2.52283E-08
3483.48,0.953887,0.0461126,,,,,,0.067678577,0.064557737,0.953887331,0.046112669,-3.30605E-07,-6.93955E-08
3503.5,0.954131,0.0458687,,,,,,0.067303328,0.064216211,0.954131278,0.045868722,-2.78301E-07,-2.1699E-08
3523.52,0.954373,0.0456273,,,,,,0.066932218,0.063878279,0.954372658,0.045627342,3.41999E-07,-4.1999E-08
3543.54,0.954612,0.0453884,,,,,,0.066565178,0.063543885,0.954611511,0.045388489,4.89375E-07,-8.93754E-08
3563.56,0.954848,0.0451521,,,,,,0.066202142,0.063212974,0.954847875,0.045152125,1.24733E-07,-2.47334E-08
3583.58,0.955082,0.0449182,,,,,,0.065843044,0.062885492,0.955081791,0.044918209,2.08856E-07,-8.85565E-09
3603.6,0.955313,0.0446867,,,,,,0.065487821,0.062561386,0.955313296,0.044686704,-2.9564E-07,-4.35986E-09
3623.62,0.955542,0.0444575,,,,,,0.06513641,0.062240603,0.955542426,0.044457574,-4.26251E-07,-7.37491E-08
3643.64,0.955769,0.0442307,,,,,,0.06478875,0.061923093,0.955769219,0.044230781,-2.19282E-07,-8.07184E-08
3663.66,0.955994,0.0440062,,,,,,0.064444782,0.061608806,0.95599371,0.04400629,2.9016E-07,-9.016E-08
3683.68,0.956216,0.043784,,,,,,0.064104447,0.061297693,0.956215933,0.043784067,6.68617E-08,-6.68617E-08
3703.7,0.956436,0.043564,,,,,,0.063767687,0.060989707,0.956435924,0.043564076,7.6162E-08,-7.6162E-08
3723.72,0.956654,0.0433462,,,,,,0.063434448,0.0606848,0.956653714,0.043346286,2.85914E-07,-8.59144E-08
3743.74,0.956869,0.0431306,,,,,,0.063104673,0.060382927,0.956869338,0.043130662,-3.38083E-07,-6.19168E-08
3763.76,0.957083,0.0429171,,,,,,0.062778309,0.060084042,0.957082828,0.042917172,1.72489E-07,-7.24886E-08
3783.78,0.957294,0.0427057,,,,,,0.062455304,0.059788101,0.957294213,0.042705787,-2.13485E-07,-8.65148E-08
3803.8,0.957504,0.0424964,,,,,,0.062135605,0.059495061,0.957503528,0.042496472,4.72138E-07,-7.21381E-08
3823.82,0.957711,0.0422892,,,,,,0.061819163,0.05920488,0.9577108,0.0422892,2.00036E-07,-3.56134E-11
3843.84,0.957916,0.0420839,,,,,,0.061505928,0.058917516,0.95791606,0.04208394,-5.98519E-08,-4.01481E-08
3863.86,0.958119,0.0418806,,,,,,0.061195851,0.058632928,0.958119337,0.041880663,-3.37009E-07,-6.29913E-08
3883.88,0.958321,0.0416793,,,,,,0.060888885,0.058351076,0.95832066,0.04167934,3.40315E-07,-4.03148E-08
3903.9,0.95852,0.0414799,,,,,,0.060584983,0.058071921,0.958520056,0.041479944,-5.62068E-08,-4.37932E-08
3923.92,0.958718,0.0412824,,,,,,0.060284099,0.057795424,0.958717554,0.041282446,4.45684E-07,-4.56839E-08
3943.94,0.958913,0.0410868,,,,,,0.059986189,0.057521548,0.958913181,0.041086819,-1.80514E-07,-1.94863E-08
3963.96,0.959107,0.040893,,,,,,0.05969121,0.057250255,0.959106961,0.040893039,3.92888E-08,-3.92888E-08
3983.98,0.959299,0.040701,,,,,,0.059399117,0.056981509,0.959298922,0.040701078,7.77984E-08,-7.77984E-08
4004,0.959489,0.0405109,,,,,,0.059109869,0.056715274,0.95948909,0.04051091,-8.97143E-08,-1.02857E-08
4024.02,0.959678,0.0403225,,,,,,0.058823424,0.056451516,0.959677489,0.040322511,5.11301E-07,-1.13007E-08
4044.04,0.959864,0.0401358,,,,,,0.058539742,0.0561902,0.959864143,0.040135857,-1.43352E-07,-5.66478E-08
4064.06,0.960049,0.0399509,,,,,,0.058258783,0.055931291,0.960049078,0.039950922,-7.79283E-08,-2.20717E-08
4084.08,0.960232,0.0397676,,,,,,0.057980509,0.055674758,0.960232315,0.039767685,-3.15424E-07,-8.45761E-08
4104.1,0.960414,0.0395861,,,,,,0.05770488,0.055420567,0.96041388,0.03958612,1.19791E-07,-1.97913E-08
4124.12,0.960594,0.0394062,,,,,,0.057431859,0.055168687,0.960593795,0.039406205,2.05268E-07,-5.26808E-09
4144.14,0.960772,0.0392279,,,,,,0.057161409,0.054919086,0.960772081,0.039227919,-8.14956E-08,-1.85044E-08
