Function,Concentration,Predicted
1,9009.01,0.0266574
1,9029.03,0.026599
1,9049.05,0.0265408
1,9069.07,0.0264829
1,9089.09,0.0264253
1,9109.11,0.0263679
1,9129.13,0.0263107
1,9149.15,0.0262538
1,9169.17,0.0261971
1,9189.19,0.0261407
1,9209.21,0.0260846
1,9229.23,0.0260286
1,9249.25,0.0259729
1,9269.27,0.0259175
1,9289.29,0.0258623
1,9309.31,0.0258073
1,9329.33,0.0257525
1,9349.35,0.025698
1,9369.37,0.0256437
1,9389.39,0.0255897
1,9409.41,0.0255358
1,9429.43,0.0254822
1,9449.45,0.0254288
1,9469.47,0.0253757
1,9489.49,0.0253227
1,9509.51,0.02527
1,9529.53,0.0252175
1,9549.55,0.0251652
1,9569.57,0.0251132
1,9589.59,0.0250613
1,9609.61,0.0250097
1,9629.63,0.0249583
1,9649.65,0.0249071
1,9669.67,0.0248561
1,9689.69,0.0248053
1,9709.71,0.0247547
1,9729.73,0.0247043
1,9749.75,0.0246541
1,9769.77,0.0246042
1,9789.79,0.0245544
1,9809.81,0.0245048
1,9829.83,0.0244554
1,9849.85,0.0244063
1,9869.87,0.0243573
1,9889.89,0.0243085
1,9909.91,0.0242599
1,9929.93,0.0242116
1,9949.95,0.0241634
1,9969.97,0.0241154
1,9989.99,0.0240675
1,10010,0.0240199
1,10030,0.0239725
1,10050.1,0.0239252
1,10070.1,0.0238782
1,10090.1,0.0238313
1,10110.1,0.0237846
1,10130.1,0.0237381
1,10150.2,0.0236918
1,10170.2,0.0236456
1,10190.2,0.0235996
1,10210.2,0.0235538
1,10230.2,0.0235082
1,10250.3,0.0234628
1,10270.3,0.0234175
1,10290.3,0.0233724
1,10310.3,0.0233275
1,10330.3,0.0232828
1,10350.4,0.0232382
1,10370.4,0.0231938
1,10390.4,0.0231496
1,10410.4,0.0231055
1,10430.4,0.0230616
1,10450.5,0.0230179
1,10470.5,0.0229743
1,10490.5,0.0229309
1,10510.5,0.0228877
1,10530.5,0.0228446
1,10550.6,0.0228017
1,10570.6,0.0227589
1,10590.6,0.0227163
1,10610.6,0.0226739
1,10630.6,0.0226316
1,10650.7,0.0225895
1,10670.7,0.0225476
1,10690.7,0.0225058
1,10710.7,0.0224641
1,10730.7,0.0224226
1,10750.8,0.0223813
1,10770.8,0.0223401
1,10790.8,0.022299
1,10810.8,0.0222581
1,10830.8,0.0222174
1,10850.9,0.0221768
1,10870.9,0.0221364
1,10890.9,0.0220961
1,10910.9,0.0220559
1,10930.9,0.0220159
1,10951,0.0219761
1,10971,0.0219364
1,10991,0.0218968
1,11011,0.0218574
1,11031,0.0218181
1,11051.1,0.0217789
1,11071.1,0.0217399
1,11091.1,0.0217011
1,11111.1,0.0216623
1,11131.1,0.0216237
1,11151.2,0.0215853
1,11171.2,0.021547
1,11191.2,0.0215088
1,11211.2,0.0214707
1,11231.2,0.0214328
1,11251.3,0.0213951
1,11271.3,0.0213574
1,11291.3,0.0213199
1,11311.3,0.0212825
1,11331.3,0.0212453
1,11351.4,0.0212082
1,11371.4,0.0211712
1,11391.4,0.0211343
1,11411.4,0.0210976
1,11431.4,0.021061
1,11451.5,0.0210245
1,11471.5,0.0209881
1,11491.5,0.0209519
1,11511.5,0.0209158
1,11531.5,0.0208798
1,11551.6,0.020844
1,11571.6,0.0208082
1,11591.6,0.0207726
1,11611.6,0.0207372
1,11631.6,0.0207018
1,11651.7,0.0206665
1,11671.7,0.0206314
1,11691.7,0.0205964
1,11711.7,0.0205615
1,11731.7,0.0205268
1,11751.8,0.0204921
1,11771.8,0.0204576
1,11791.8,0.0204231
1,11811.8,0.0203888
1,11831.8,0.0203547
1,11851.9,0.0203206
1,11871.9,0.0202866
1,11891.9,0.0202528
1,11911.9,0.020219
1,11931.9,0.0201854
1,11952,0.0201519
1,11972,0.0201185
1,11992,0.0200852
1,12012,0.020052
1,12032,0.020019
1,12052.1,0.019986
1,12072.1,0.0199532
1,12092.1,0.0199204
1,12112.1,0.0198878
1,12132.1,0.0198552
1,12152.2,0.0198228
1,12172.2,0.0197905
1,12192.2,0.0197583
1,12212.2,0.0197262
1,12232.2,0.0196942
1,12252.3,0.0196623
1,12272.3,0.0196305
1,12292.3,0.0195988
1,12312.3,0.0195672
1,12332.3,0.0195357
1,12352.4,0.0195043
1,12372.4,0.019473
1,12392.4,0.0194418
1,12412.4,0.0194107
1,12432.4,0.0193797
1,12452.5,0.0193489
1,12472.5,0.0193181
1,12492.5,0.0192874
1,12512.5,0.0192568
1,12532.5,0.0192263
1,12552.6,0.0191959
1,12572.6,0.0191656
1,12592.6,0.0191353
1,12612.6,0.0191052
1,12632.6,0.0190752
1,12652.7,0.0190453
1,12672.7,0.0190154
1,12692.7,0.0189857
1,12712.7,0.0189561
1,12732.7,0.0189265
1,12752.8,0.018897
1,12772.8,0.0188677
1,12792.8,0.0188384
1,12812.8,0.0188092
1,12832.8,0.0187801
1,12852.9,0.0187511
1,12872.9,0.0187222
1,12892.9,0.0186933
