Function,Concentration,Predicted
1,14834.8,0.988516
1,14854.9,0.988532
1,14874.9,0.988547
1,14894.9,0.988562
1,14914.9,0.988577
1,14934.9,0.988592
1,14955,0.988607
1,14975,0.988622
1,14995,0.988637
1,15015,0.988652
1,15035,0.988666
1,15055.1,0.988681
1,15075.1,0.988696
1,15095.1,0.988711
1,15115.1,0.988725
1,15135.1,0.98874
1,15155.2,0.988755
1,15175.2,0.988769
1,15195.2,0.988784
1,15215.2,0.988798
1,15235.2,0.988813
1,15255.3,0.988827
1,15275.3,0.988842
1,15295.3,0.988856
1,15315.3,0.98887
1,15335.3,0.988884
1,15355.4,0.988899
1,15375.4,0.988913
1,15395.4,0.988927
1,15415.4,0.988941
1,15435.4,0.988955
1,15455.5,0.988969
1,15475.5,0.988983
1,15495.5,0.988997
1,15515.5,0.989011
1,15535.5,0.989025
1,15555.6,0.989039
1,15575.6,0.989053
1,15595.6,0.989067
1,15615.6,0.98908
1,15635.6,0.989094
1,15655.7,0.989108
1,15675.7,0.989122
1,15695.7,0.989135
1,15715.7,0.989149
1,15735.7,0.989162
1,15755.8,0.989176
1,15775.8,0.989189
1,15795.8,0.989203
1,15815.8,0.989216
1,15835.8,0.98923
1,15855.9,0.989243
1,15875.9,0.989256
1,15895.9,0.98927
1,15915.9,0.989283
1,15935.9,0.989296
1,15956,0.989309
1,15976,0.989322
1,15996,0.989336
1,16016,0.989349
1,16036,0.989362
1,16056.1,0.989375
1,16076.1,0.989388
1,16096.1,0.989401
1,16116.1,0.989414
1,16136.1,0.989427
1,16156.2,0.989439
1,16176.2,0.989452
1,16196.2,0.989465
1,16216.2,0.989478
1,16236.2,0.989491
1,16256.3,0.989503
1,16276.3,0.989516
1,16296.3,0.989529
1,16316.3,0.989541
1,16336.3,0.989554
1,16356.4,0.989567
1,16376.4,0.989579
1,16396.4,0.989592
1,16416.4,0.989604
1,16436.4,0.989617
1,16456.5,0.989629
1,16476.5,0.989641
1,16496.5,0.989654
1,16516.5,0.989666
1,16536.5,0.989678
