Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,Delta_Clint,Delta_ClH
1681.68,0.135845,0.12383,,,,,,0.135845292,0.123829795,-2.9159E-07,2.04598E-07
1701.7,0.134342,0.122579,,,,,,0.134341818,0.1225793,1.8184E-07,-2.99604E-07
1721.72,0.132871,0.121354,,,,,,0.132871261,0.121353808,-2.60846E-07,1.91669E-07
1741.74,0.131432,0.120152,,,,,,0.13143255,0.120152579,-5.50357E-07,-5.79006E-07
1761.76,0.130025,0.118975,,,,,,0.130024663,0.118974898,3.36781E-07,1.01829E-07
1781.78,0.128646,0.11782,,,,,,0.128646619,0.11782008,-6.19351E-07,-8.00707E-08
1801.8,0.127297,0.116687,,,,,,0.12729748,0.116687465,-4.79791E-07,-4.6532E-07
1821.82,0.125976,0.115576,,,,,,0.125976345,0.11557642,-3.44555E-07,-4.19652E-07
1841.84,0.124682,0.114486,,,,,,0.124682351,0.114486333,-3.50643E-07,-3.32728E-07
1861.86,0.123415,0.113417,,,,,,0.12341467,0.113416617,3.29845E-07,3.82974E-07
1881.88,0.122172,0.112367,,,,,,0.122172509,0.112366707,-5.08521E-07,2.93222E-07
1901.9,0.120955,0.111336,,,,,,0.120955103,0.111336057,-1.02849E-07,-5.69757E-08
1921.92,0.119762,0.110324,,,,,,0.11976172,0.110324142,2.79648E-07,-1.42428E-07
1941.94,0.118592,0.10933,,,,,,0.118591657,0.109330457,3.43114E-07,-4.56866E-07
1961.96,0.117444,0.108354,,,,,,0.117444236,0.108354512,-2.35557E-07,-5.12098E-07
1981.98,0.116319,0.107396,,,,,,0.116318805,0.107395837,1.94578E-07,1.62787E-07
2002,0.115215,0.106454,,,,,,0.11521474,0.106453978,2.5975E-07,2.21807E-08
2022.02,0.114131,0.105528,,,,,,0.114131437,0.105528495,-4.37368E-07,-4.95328E-07
2042.04,0.113068,0.104619,,,,,,0.113068317,0.104618966,-3.16556E-07,3.37271E-08
2062.06,0.112025,0.103725,,,,,,0.112024819,0.103724982,1.80983E-07,1.83384E-08
2082.08,0.111,0.102846,,,,,,0.111000406,0.102846146,-4.06395E-07,-1.46365E-07
2102.1,0.109994,0.101982,,,,,,0.10999456,0.101982079,-5.59847E-07,-7.85325E-08
2122.12,0.109007,0.101132,,,,,,0.109006779,0.101132409,2.2083E-07,-4.09042E-07
2142.14,0.108036,0.100297,,,,,,0.108036582,0.100296781,-5.81968E-07,2.19031E-07
